START_DATE,Calculated oil rate,Calculated gaz rate
2019-07-19,2.6151999999999997,5619.125099999999
2019-07-20,2.6137999999999995,5608.600399999999
2019-07-21,2.6656999999999993,5541.814
2019-07-22,2.6260999999999988,5495.5358
2019-07-23,2.6260999999999988,5495.5358
2019-07-24,2.6300999999999988,5455.4743
2019-07-25,2.635,5469.875999999999
2019-07-26,2.6315999999999997,5493.7365
2019-07-27,2.6654999999999993,5510.91
2019-07-28,2.6832999999999996,5514.368700000001
2019-07-29,2.7077,5541.7401
2019-07-30,2.7256,5546.0331000000015
2019-07-31,2.6854999999999993,5550.3827
2019-08-01,2.4645000000000006,5507.7260000000015
2019-08-02,2.4659000000000004,5502.402900000002
2019-08-03,2.4729,5545.070500000002
2019-08-04,2.4675,5569.266300000001
2019-08-05,2.4499000000000004,5616.251500000002
2019-08-06,2.4351999999999996,5643.576500000003
2019-08-07,2.4351999999999996,5643.576500000003
2019-08-08,2.4334999999999996,5635.318200000002
2019-08-09,2.4541000000000004,5674.542100000002
2019-08-10,2.5065,5638.764600000001
2019-08-11,2.5734,5559.7053000000005
2019-08-12,2.579,5556.297100000001
2019-08-13,2.5553,5555.979100000002
2019-08-14,2.5380999999999996,5578.669200000001
2019-08-15,2.5366999999999993,5552.759000000001
2019-08-16,2.5366999999999993,5552.759000000001
2019-08-17,2.5558000000000005,5533.7455
2019-08-18,2.5700000000000003,5531.9890000000005
2019-08-19,2.6111999999999997,5521.4698
2019-08-20,2.6097999999999995,5510.9451
2019-08-21,2.661699999999999,5444.158699999999
2019-08-22,2.6174999999999993,5444.304299999999
2019-08-23,2.6174999999999993,5444.304299999999
2019-08-24,2.6214999999999993,5404.242799999999
2019-08-25,2.626399999999999,5418.6445
2019-08-26,2.622999999999999,5442.505
2019-08-27,2.6569,5459.678500000001
2019-08-28,2.6746999999999996,5463.137200000001
2019-08-29,2.6990999999999996,5490.508600000001
2019-08-30,2.7170000000000005,5494.801600000001
2019-08-31,2.6769,5499.151199999999
2019-09-01,2.5052000000000003,5426.612100000003
2019-09-02,2.5065999999999997,5421.2890000000025
2019-09-03,2.5200000000000005,5455.621600000002
2019-09-04,2.5172000000000008,5477.767300000003
2019-09-05,2.5065000000000004,5520.526000000003
2019-09-06,2.498700000000001,5543.624500000002
2019-09-07,2.498700000000001,5543.624500000002
2019-09-08,2.4970000000000008,5535.366200000002
2019-09-09,2.5176000000000003,5574.590100000002
2019-09-10,2.5700000000000007,5538.812600000002
2019-09-11,2.6265000000000014,5467.953700000003
2019-09-12,2.6321000000000003,5464.545500000003
2019-09-13,2.6084000000000005,5464.227500000003
2019-09-14,2.5912000000000006,5486.917600000002
2019-09-15,2.5898000000000008,5461.007400000001
2019-09-16,2.5898000000000008,5461.007400000001
2019-09-17,2.6089000000000007,5441.993900000001
2019-09-18,2.6086000000000005,5443.973700000001
2019-09-19,2.6449,5435.5749000000005
2019-09-20,2.6417999999999995,5425.1765000000005
2019-09-21,2.6936999999999993,5358.3901000000005
2019-09-22,2.668199999999999,5391.5759
2019-09-23,2.668199999999999,5391.5759
2019-09-24,2.6721999999999992,5351.514400000001
2019-09-25,2.6770999999999994,5365.916100000001
2019-09-26,2.6736999999999993,5389.7766
2019-09-27,2.7076000000000002,5406.950100000002
2019-09-28,2.725399999999999,5410.408800000001
2019-09-29,2.7310999999999996,5404.740000000001
2019-09-30,2.7415,5418.149600000001
2019-10-01,2.506800000000001,5433.1082000000015
2019-10-02,2.5082000000000004,5427.785100000001
2019-10-03,2.5216000000000007,5462.117700000001
2019-10-04,2.5188,5484.263400000002
2019-10-05,2.5081000000000007,5527.022100000003
2019-10-06,2.5003000000000006,5550.120600000002
2019-10-07,2.5003000000000006,5550.120600000002
2019-10-08,2.498600000000001,5541.8623000000025
2019-10-09,2.519200000000001,5581.0862000000025
2019-10-10,2.5240000000000005,5560.278400000001
2019-10-11,2.5805000000000007,5489.419500000002
2019-10-12,2.5861000000000005,5486.011300000001
2019-10-13,2.5840000000000005,5470.576500000001
2019-10-14,2.5668000000000006,5493.266600000002
2019-10-15,2.565400000000001,5467.356400000001
2019-10-16,2.5673000000000004,5468.700200000002
2019-10-17,2.5864000000000003,5449.686700000001
2019-10-18,2.5861000000000005,5451.666500000002
2019-10-19,2.6223999999999994,5443.2677
2019-10-20,2.619299999999999,5432.8693
2019-10-21,2.6712,5366.082900000001
2019-10-22,2.6456999999999993,5399.2687000000005
2019-10-23,2.6456999999999993,5399.2687000000005
2019-10-24,2.6496999999999997,5359.2072
2019-10-25,2.6545999999999994,5373.608900000001
2019-10-26,2.6512,5397.469400000001
